Active,Category,Item Name,Rarity,Colorable,Default Color,Sources,Item ID,Icon ID,Editor Icon ID,Wardrobe Icon ID,Base Cosmetic,Price (Crafting),Status,Description
TRUE,Hat,Gas Mask (Toxic),Rare,TRUE,#B1FF00,,wardrobe_hat_variant_gas_mask_toxic,mcc:island_cosmetics.hat_variant.gas_mask_toxic,,,wardrobe_hat_gas_mask,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 2; component_leather_scrap: 2; component_rubber_band: 1; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 2; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Gas Mask (Vintage),Rare,,,,,,,,wardrobe_hat_gas_mask,,None,
FALSE,Hat,Gas Mask (Visor),Rare,,,,,,,,wardrobe_hat_gas_mask,,None,
TRUE,Hat,Knight Helmet (Visor Down),Rare,TRUE,#FD382A,,wardrobe_hat_variant_knight_helmet_closed,mcc:island_cosmetics.hat_variant.knight_helmet_closed,,,wardrobe_hat_knight_helmet,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 2; component_leather_scrap: 3; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 3; component_feather_bundle: 1; component_reptilian_scales: 0; component_steel_plate: 1; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,Ready for Action!
TRUE,Hat,Night Vision (Double),Rare,TRUE,#41adff,,wardrobe_hat_variant_night_vision_dual,mcc:island_cosmetics.hat_variant.night_vision_dual,,,wardrobe_hat_night_vision,component_bland_thread: 2; component_chicken_glue: 1; component_clouded_glass: 2; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 1; component_shiny_rock: 2; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 2; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Pirate Hat (Feathered),Rare,,,,wardrobe_hat_variant_pirate_hat_feathered,mcc:island_cosmetics.hat_variant.pirate_hat_feathered,,,wardrobe_hat_pirate_hat,,In Progress,[Another feather in your cap!]
FALSE,Hat,Pirate Hat (Phantom),Rare,,,,wardrobe_hat_variant_pirate_hat_phantom,mcc:island_cosmetics.hat_variant.pirate_hat_phantom,,,wardrobe_hat_pirate_hat,,In Progress,[Insulting a pirate's hat be worse than insulting their mother!]
FALSE,Hat,Pirate Hat (Seaweed),Rare,,,,wardrobe_hat_variant_pirate_hat_seaweed,mcc:island_cosmetics.hat_variant.pirate_hat_seaweed,,,wardrobe_hat_pirate_hat,,In Progress,"[A little watterlogged, but you're okay.]"
FALSE,Hat,Toadstool (Fungal),Rare,,,,,,,,wardrobe_hat_toadstool,,In Progress,
FALSE,Hat,Toadstool (Glowshroom),Rare,,,,,,,,wardrobe_hat_toadstool,,,
TRUE,Hat,Anime Shades,Epic,,,,wardrobe_hat_anime_shades,mcc:island_cosmetics.hat.anime_shades,,,wardrobe_hat_cool_shades,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 4; component_leather_scrap: 0; component_rubber_band: 2; component_finde_string: 0; component_shiny_rock: 2; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 1; component_steel_plate: 2; component_velvet_fabric: 0; component_abyssal_ichor: 1; component_crystal_shards: 2; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[My sword will pierce the championship!]
TRUE,Hat,Chicken Head (Cartoon),Epic,,,,wardrobe_hat_variant_chicken_head_illustrated,mcc:island_cosmetics.hat_variant.chicken_head_illustrated,,,wardrobe_hat_chicken_head,component_bland_thread: 0; component_chicken_glue: 6; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 4; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 2; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 1; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 1; component_silky_satin: 2; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
TRUE,Hat,Chicken Head (Golden),Epic,,,,wardrobe_hat_variant_chicken_head_golden,mcc:island_cosmetics.hat_variant.chicken_head_golden,,,wardrobe_hat_chicken_head,component_bland_thread: 0; component_chicken_glue: 6; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 4; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 1; component_reptilian_scales: 0; component_steel_plate: 2; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 2; component_hollow_bone: 1; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Crusader (Deus Vult),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Crusader (Minotaur),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Crusader (Malum Vult),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Crusader (Maxitaur),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Eyeball (Demonic),Epic,,,,wardrobe_hat_variant_eyeball_demon,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[Eye see you want to make a deal.]
FALSE,Hat,Eyeball (Winged),Epic,,,,wardrobe_hat_variant_eyeball_ice,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[Eye'm not cold. Are you?]
FALSE,Hat,Eyeball (Monster),Epic,,,,wardrobe_hat_variant_eyeball_monster,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[This is what peers from under the bed.]
FALSE,Hat,Eyeball (Cyborg),Epic,,,,wardrobe_hat_variant_eyeball_monster,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[This is what peers from under the bed.]
FALSE,Hat,Knight Helmet (Klappvisor),Epic,,,,wardrobe_hat_variant_knight_helmet_klappvisor_1,mcc:island_cosmetics.hat_variant.knight_helmet_klappvisor_1,,,wardrobe_hat_knight_helmet,,In Progress,[Hinged on your bascinet.]
FALSE,Hat,Knight Helmet (Klappvisor 2),Epic,,,,wardrobe_hat_variant_knight_helmet_klappvisor_2,mcc:island_cosmetics.hat_variant.knight_helmet_klappvisor_2,,,wardrobe_hat_knight_helmet,,In Progress,[Do two eye slits help you see better? Or is it worse?]
FALSE,Hat,Knight Helmet (Molten),Epic,,,,wardrobe_hat_variant_knight_helmet_molten,mcc:island_cosmetics.hat_variant.knight_helmet_molten,,,wardrobe_hat_knight_helmet,,In Progress,[By fire be purged!]
TRUE,Hat,Night Vision (Arachno),Epic,TRUE,#ff2c1c,,wardrobe_hat_variant_night_vision_arachno,mcc:island_cosmetics.hat_variant.night_vision_arachno,,,wardrobe_hat_night_vision,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 4; component_leather_scrap: 2; component_rubber_band: 0; component_finde_string: 2; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 2; component_feather_bundle: 0; component_reptilian_scales: 1; component_steel_plate: 0; component_velvet_fabric: 2; component_abyssal_ichor: 1; component_crystal_shards: 1; component_hollow_bone: 0; component_silky_satin: 1; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Spartan (Silver),Epic,,,,wardrobe_hat_variant_spartan_silver,mcc:island_cosmetics.hat_variant.spartan_silver,,,wardrobe_hat_spartan,,In Progress,"[In the land of ample gold, one with silver stands above.]"
FALSE,Hat,Banana Head (Flecks),Legendary,,,,,,,,wardrobe_hat_banana_hat,,None,
FALSE,Hat,Banana Head (Unripe),Legendary,,,,,,,,wardrobe_hat_banana_hat,,None,
TRUE,Hat,Computer Head (Outline),Legendary,TRUE,#B1FF00,,wardrobe_hat_variant_computer_head_outline,mcc:island_cosmetics.hat_variant.computer_head_outline,,,wardrobe_hat_computer_head,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 8; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 4; component_smoking_sulfur: 1; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 1; component_steel_plate: 2; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 2; component_hollow_bone: 0; component_silky_satin: 1; component_everliving_flame: 1; component_glistening_pearl: 1; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
TRUE,Hat,Computer Head (Overflow),Legendary,TRUE,#B1FF00,,wardrobe_hat_variant_computer_head_code,mcc:island_cosmetics.hat_variant.computer_head_code,,,wardrobe_hat_computer_head,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 8; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 2; component_smoking_sulfur: 3; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 3; component_velvet_fabric: 0; component_abyssal_ichor: 2; component_crystal_shards: 1; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 1; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 1,Complete,
TRUE,Hat,Decision Dome Jr. (Countdown),Legendary,,,,wardrobe_hat_variant_decision_dome_jr_countdown,mcc:island_cosmetics.hat_variant.decision_dome_jr_countdown,,,wardrobe_hat_decision_dome_jr,component_bland_thread: 0; component_chicken_glue: 2; component_clouded_glass: 2; component_leather_scrap: 2; component_rubber_band: 2; component_finde_string: 0; component_shiny_rock: 2; component_smoking_sulfur: 1; component_vacant_seashell: 2; component_feather_bundle: 1; component_reptilian_scales: 1; component_steel_plate: 1; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 1; component_hollow_bone: 2; component_silky_satin: 0; component_everliving_flame: 2; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[Let the games begin!]
FALSE,Hat,Mascot Bobblehead (Golden),Legendary,,,,wardrobe_hat_variant_mascot_bobblehead_golden,mcc:island_cosmetics.hat_variant.mascot_bobblehead_golden,,,wardrobe_hat_mascot_bobblehead,,In Progress,
FALSE,Hat,Plague Doctor (Haunted),Legendary,,,,wardrobe_hat_variant_plague_doctor_haunted,mcc:island_cosmetics.hat_variant.plague_doctor_haunted,,,wardrobe_hat_plague_doctor,,In Progress,[Someone hasn't been eating apples..!]
FALSE,Hat,Plague Doctor (Leather),Legendary,,,,wardrobe_hat_variant_plague_doctor_leather,mcc:island_cosmetics.hat_variant.plague_doctor_leather,,,wardrobe_hat_plague_doctor,,In Progress,[Leather is more comfortable than porcelain.]
FALSE,Hat,Plague Doctor (White),Legendary,,,,wardrobe_hat_variant_plague_doctor_white,mcc:island_cosmetics.hat_variant.plague_doctor_white,,,wardrobe_hat_plague_doctor,,In Progress,[Porcelain is more refined than leather.]
FALSE,Hat,Plague Doctor (Hooded),Legendary,,,,wardrobe_hat_variant_plague_doctor_white,mcc:island_cosmetics.hat_variant.plague_doctor_white,,,wardrobe_hat_plague_doctor,,In Progress,[Porcelain is more refined than leather.]
FALSE,Hat,TV Head (Vintage),Legendary,,,,wardrobe_hat_variant_tv_head_vintage,mcc:island_cosmetics.hat_variant.tv_head_vintage,,,wardrobe_hat_tv_head,,In Progress,"[Good morning, Minecraft!]"
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
