Active,Category,Item Name,Rarity,Colorable,Default Color,Sources,Item ID,Icon ID,Editor Icon ID,Wardrobe Icon ID,Base Cosmetic,Price (Crafting),Status,Description
TRUE,Accessory,Faction Flag (Improved),Rare,,,,accessory_faction_flag_improved,mcc:island_cosmetics.accessory_faction.flag_improved,,,accessory_faction_flag,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Accessory,Gauntlet (Golden),Epic,,,,,,,,accessory_gauntlet,,None,
FALSE,Accessory,Money Bag (Moneybags),Epic,,,,,,,,accessory_money_bag,,None,
FALSE,Accessory,Paintbrush (Dripping),Epic,,,,,,,,accessory_paintbrush,,None,
FALSE,Accessory,Gauntlet (Dark Matter),Legendary,,,,,,,,accessory_gauntlet,,None,
TRUE,Accessory,Gauntlet (Elemental),Legendary,,,,accessory_variant_gauntlet_elemental,mcc:island_cosmetics.accessory_variant.gauntlet_elemental,,,accessory_gauntlet,component_bland_thread: 0; component_chicken_glue: 5; component_clouded_glass: 0; component_leather_scrap: 2; component_rubber_band: 1; component_finde_string: 0; component_shiny_rock: 5; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 3; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 3; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 1; component_glistening_pearl: 0; component_perfected_alloy: 1; component_pristine_chitin: 0,Complete,[Aw snap!]
FALSE,Accessory,Lantern (Soul),Legendary,,,,,,,,accessory_lantern,,None,
FALSE,Accessory,Poseidon's Trident (Aquatic),Legendary,,,,,,,,accessory_poseidons_trident,,None,The trident features emissive aquatic elements
FALSE,Accessory,Poseidon's Trident (Seaweed),Legendary,,,,,,,,accessory_poseidons_trident,,None,The trident is covered in seaweed and miscellanious underwater items
FALSE,Accessory,Poseidon's Trident (Tide),Legendary,,,,,,,,accessory_poseidons_trident,,None,The trident is circled by a current of water
FALSE,Accessory,Robot Arm (Evolved),Legendary,,,,,,,,accessory_robot_arm,,None,
FALSE,Accessory,Spell Shield (Square),Legendary,,,,,,,,accessory_spell_shield,,None,The spell consists of squares instead of circles
FALSE,Accessory,Spell Shield (Triangular),Legendary,,,,,,,,accessory_spell_shield,,None,The spell takes on a very triangular form
FALSE,Hat,Goggles (Steampunk),Common,,,,wardrobe_hat_variant_goggles_steampunk,mcc:island_cosmetics.hat_variant.goggles_steampunk,,,wardrobe_hat_goggles,,In Progress,[Imagine the will it took to create these.]
TRUE,Hat,Party Hat (Striped),Common,TRUE,#4BBBF2,,wardrobe_hat_variant_party_hat_striped,mcc:island_cosmetics.hat_variant.party_hat_striped,,,wardrobe_hat_party_hat,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[The best time to wear a striped hat is all the time!]
FALSE,Hat,Sprouted (Bloom),Common,,,,wardrobe_hat_variant_sprouted_boom,mcc:island_cosmetics.hat_variant.sprouted_bloom,,,wardrobe_hat_sprouted,,In Progress,[Got plenty of sunlight.]
FALSE,Hat,Disguise (Bigger),Uncommon,,,,wardrobe_hat_variant_disguise_bigger,mcc:island_cosmetics.hat_variant.disguise_bigger,,,wardrobe_hat_disguise,,In Progress,"[That's a nice stache, stranger.]"
TRUE,Hat,Headphones (Cat Ear),Uncommon,TRUE,#FF80A6,,wardrobe_hat_cat_ear_headphones,mcc:island_cosmetics.hat.cat_ear_headphones,,,wardrobe_hat_headphones,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 2; component_rubber_band: 2; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 2; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[Purrfect starter headgear for streaming!]
TRUE,Hat,Headphones (Gaming),Uncommon,TRUE,#4BBBF2,,wardrobe_hat_gaming_headphones,mcc:island_cosmetics.hat.gaming_headphones,,,wardrobe_hat_headphones,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 2; component_rubber_band: 2; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[Wearing these will *not* make you better at the game.]
FALSE,Hat,Magician's Hat (Cards),Uncommon,,,,wardrobe_hat_variant_magicians_hat_cards,mcc:island_cosmetics.hat_variant.magicians_hat_cards,,,wardrobe_hat_magicians_hat,,In Progress,[Pick a card. One of three.]
TRUE,Hat,Snapback (Frontsnap),Uncommon,TRUE,#7EC41B,,wardrobe_hat_variant_snapback_frontsnap,mcc:island_cosmetics.hat_variant.snapback_frontsnap,,,wardrobe_hat_snapback,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
TRUE,Hat,Snapback (Sidesnap),Uncommon,TRUE,#7EC41B,,wardrobe_hat_variant_snapback_sidesnap,mcc:island_cosmetics.hat_variant.snapback_sidesnap,,,wardrobe_hat_snapback,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Astronaut Helmet (Golden),Rare,,,,wardrobe_hat_variant_astronaut_helmet_golden,mcc:island_cosmetics.hat_variant.astronaut_helmet_golden,,,wardrobe_hat_astronaut_helmet,,None,[Better for reflecting unfiltered sunlight.]
TRUE,Hat,Chicken Head (Robotic),Rare,,,,wardrobe_hat_variant_chicken_head_cyborg,mcc:island_cosmetics.hat_variant.chicken_head_cyborg,,,wardrobe_hat_chicken_head,component_bland_thread: 0; component_chicken_glue: 5; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 1; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 2; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[I'll be bock.]
FALSE,Hat,Crusader (Black Knight),Rare,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Gas Mask (Battle),Rare,,,,,,,,wardrobe_hat_gas_mask,,None,
TRUE,Hat,Gas Mask (Toxic),Rare,TRUE,#B1FF00,,wardrobe_hat_variant_gas_mask_toxic,mcc:island_cosmetics.hat_variant.gas_mask_toxic,,,wardrobe_hat_gas_mask,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 2; component_leather_scrap: 2; component_rubber_band: 1; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 2; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Gas Mask (Vintage),Rare,,,,,,,,wardrobe_hat_gas_mask,,None,
FALSE,Hat,Gas Mask (Visor),Rare,,,,,,,,wardrobe_hat_gas_mask,,None,
TRUE,Hat,Knight Helmet (Visor Down),Rare,TRUE,#FD382A,,wardrobe_hat_variant_knight_helmet_closed,mcc:island_cosmetics.hat_variant.knight_helmet_closed,,,wardrobe_hat_knight_helmet,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 2; component_leather_scrap: 3; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 3; component_feather_bundle: 1; component_reptilian_scales: 0; component_steel_plate: 1; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,Ready for Action!
TRUE,Hat,Night Vision (Double),Rare,TRUE,#41adff,,wardrobe_hat_variant_night_vision_dual,mcc:island_cosmetics.hat_variant.night_vision_dual,,,wardrobe_hat_night_vision,component_bland_thread: 2; component_chicken_glue: 1; component_clouded_glass: 2; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 1; component_shiny_rock: 2; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 2; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Pirate Hat (Feathered),Rare,,,,wardrobe_hat_variant_pirate_hat_feathered,mcc:island_cosmetics.hat_variant.pirate_hat_feathered,,,wardrobe_hat_pirate_hat,,In Progress,[Another feather in your cap!]
FALSE,Hat,Pirate Hat (Phantom),Rare,,,,wardrobe_hat_variant_pirate_hat_phantom,mcc:island_cosmetics.hat_variant.pirate_hat_phantom,,,wardrobe_hat_pirate_hat,,In Progress,[Insulting a pirate's hat be worse than insulting their mother!]
FALSE,Hat,Pirate Hat (Seaweed),Rare,,,,wardrobe_hat_variant_pirate_hat_seaweed,mcc:island_cosmetics.hat_variant.pirate_hat_seaweed,,,wardrobe_hat_pirate_hat,,In Progress,"[A little watterlogged, but you're okay.]"
FALSE,Hat,Toadstool (Fungal),Rare,,,,,,,,wardrobe_hat_toadstool,,In Progress,
FALSE,Hat,Toadstool (Glowshroom),Rare,,,,,,,,wardrobe_hat_toadstool,,,
TRUE,Hat,Shades (Anime),Epic,,,,wardrobe_hat_variant_shades_anime,mcc:island_cosmetics.hat_variant.shades_anime,,,wardrobe_hat_shades,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 4; component_leather_scrap: 0; component_rubber_band: 2; component_finde_string: 0; component_shiny_rock: 2; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 1; component_steel_plate: 2; component_velvet_fabric: 0; component_abyssal_ichor: 1; component_crystal_shards: 2; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[My sword will pierce the championship!]
TRUE,Hat,Chicken Head (Cartoon),Epic,,,,wardrobe_hat_variant_chicken_head_illustrated,mcc:island_cosmetics.hat_variant.chicken_head_illustrated,,,wardrobe_hat_chicken_head,component_bland_thread: 0; component_chicken_glue: 6; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 4; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 2; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 1; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 1; component_silky_satin: 2; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
TRUE,Hat,Chicken Head (Golden),Epic,,,,wardrobe_hat_variant_chicken_head_golden,mcc:island_cosmetics.hat_variant.chicken_head_golden,,,wardrobe_hat_chicken_head,component_bland_thread: 0; component_chicken_glue: 6; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 4; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 1; component_reptilian_scales: 0; component_steel_plate: 2; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 2; component_hollow_bone: 1; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Crusader (Deus Vult),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Crusader (Minotaur),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Crusader (Malum Vult),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Crusader (Maxitaur),Epic,,,,,,,,wardrobe_hat_crusader,,None,
FALSE,Hat,Eyeball (Demonic),Epic,,,,wardrobe_hat_variant_eyeball_demon,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[Eye see you want to make a deal.]
FALSE,Hat,Eyeball (Winged),Epic,,,,wardrobe_hat_variant_eyeball_ice,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[Eye'm not cold. Are you?]
FALSE,Hat,Eyeball (Monster),Epic,,,,wardrobe_hat_variant_eyeball_monster,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[This is what peers from under the bed.]
FALSE,Hat,Eyeball (Cyborg),Epic,,,,wardrobe_hat_variant_eyeball_monster,mcc:island_cosmetics.hat_variant.eyeball,,,wardrobe_hat_eyeball,,In Progress,[This is what peers from under the bed.]
FALSE,Hat,Knight Helmet (Klappvisor),Epic,,,,wardrobe_hat_variant_knight_helmet_klappvisor_1,mcc:island_cosmetics.hat_variant.knight_helmet_klappvisor_1,,,wardrobe_hat_knight_helmet,,In Progress,[Hinged on your bascinet.]
FALSE,Hat,Knight Helmet (Klappvisor 2),Epic,,,,wardrobe_hat_variant_knight_helmet_klappvisor_2,mcc:island_cosmetics.hat_variant.knight_helmet_klappvisor_2,,,wardrobe_hat_knight_helmet,,In Progress,[Do two eye slits help you see better? Or is it worse?]
FALSE,Hat,Knight Helmet (Molten),Epic,,,,wardrobe_hat_variant_knight_helmet_molten,mcc:island_cosmetics.hat_variant.knight_helmet_molten,,,wardrobe_hat_knight_helmet,,In Progress,[By fire be purged!]
TRUE,Hat,Night Vision (Arachno),Epic,TRUE,#ff2c1c,,wardrobe_hat_variant_night_vision_arachno,mcc:island_cosmetics.hat_variant.night_vision_arachno,,,wardrobe_hat_night_vision,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 4; component_leather_scrap: 2; component_rubber_band: 0; component_finde_string: 2; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 2; component_feather_bundle: 0; component_reptilian_scales: 1; component_steel_plate: 0; component_velvet_fabric: 2; component_abyssal_ichor: 1; component_crystal_shards: 1; component_hollow_bone: 0; component_silky_satin: 1; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,
FALSE,Hat,Spartan (Silver),Epic,,,,wardrobe_hat_variant_spartan_silver,mcc:island_cosmetics.hat_variant.spartan_silver,,,wardrobe_hat_spartan,,In Progress,"[In the land of ample gold, one with silver stands above.]"
FALSE,Hat,Banana Head (Flecks),Legendary,,,,,,,,wardrobe_hat_banana_hat,,None,
FALSE,Hat,Banana Head (Unripe),Legendary,,,,,,,,wardrobe_hat_banana_hat,,None,
TRUE,Hat,Computer Head (Overflow),Legendary,TRUE,#B1FF00,,wardrobe_hat_variant_computer_head_code,mcc:island_cosmetics.hat_variant.computer_head_code,mcc:island_cosmetics.hat_variant.computer_head_outline,mcc:island_cosmetics.hat_variant.computer_head_outline,wardrobe_hat_computer_head,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 8; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 2; component_smoking_sulfur: 3; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 3; component_velvet_fabric: 0; component_abyssal_ichor: 2; component_crystal_shards: 1; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 1; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 1,Complete,
TRUE,Hat,Decision Dome Jr. (Countdown),Legendary,,,,wardrobe_hat_variant_decision_dome_jr_countdown,mcc:island_cosmetics.hat_variant.decision_dome_jr_countdown,,,wardrobe_hat_decision_dome_jr,component_bland_thread: 0; component_chicken_glue: 2; component_clouded_glass: 2; component_leather_scrap: 2; component_rubber_band: 2; component_finde_string: 0; component_shiny_rock: 2; component_smoking_sulfur: 1; component_vacant_seashell: 2; component_feather_bundle: 1; component_reptilian_scales: 1; component_steel_plate: 1; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 1; component_hollow_bone: 2; component_silky_satin: 0; component_everliving_flame: 2; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[Let the games begin!]
FALSE,Hat,Mascot Bobblehead (Golden),Legendary,,,,wardrobe_hat_variant_mascot_bobblehead_golden,mcc:island_cosmetics.hat_variant.mascot_bobblehead_golden,,,wardrobe_hat_mascot_bobblehead,,In Progress,
FALSE,Hat,Plague Doctor (Haunted),Legendary,,,,wardrobe_hat_variant_plague_doctor_haunted,mcc:island_cosmetics.hat_variant.plague_doctor_haunted,,,wardrobe_hat_plague_doctor,,In Progress,[Someone hasn't been eating apples..!]
FALSE,Hat,Plague Doctor (Leather),Legendary,,,,wardrobe_hat_variant_plague_doctor_leather,mcc:island_cosmetics.hat_variant.plague_doctor_leather,,,wardrobe_hat_plague_doctor,,In Progress,[Leather is more comfortable than porcelain.]
FALSE,Hat,Plague Doctor (White),Legendary,,,,wardrobe_hat_variant_plague_doctor_white,mcc:island_cosmetics.hat_variant.plague_doctor_white,,,wardrobe_hat_plague_doctor,,In Progress,[Porcelain is more refined than leather.]
FALSE,Hat,Plague Doctor (Hooded),Legendary,,,,wardrobe_hat_variant_plague_doctor_white,mcc:island_cosmetics.hat_variant.plague_doctor_white,,,wardrobe_hat_plague_doctor,,In Progress,[Porcelain is more refined than leather.]
FALSE,Hat,TV Head (Vintage),Legendary,,,,wardrobe_hat_variant_tv_head_vintage,mcc:island_cosmetics.hat_variant.tv_head_vintage,,,wardrobe_hat_tv_head,,In Progress,"[Good morning, Minecraft!]"
TRUE,Hat,Shades (Cool),Rare,TRUE,#303031,,wardrobe_hat_variant_shades_cool,mcc:island_cosmetics.hat_variant.shades_cool,,,wardrobe_hat_shades,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,"Sun's out, guns out!"
TRUE,Hat,Bucket Hat (Frog),Uncommon,TRUE,#ace500,,wardrobe_hat_variant_bucket_hat_frog,mcc:island_cosmetics.hat_variant.bucket_hat_frog,,,wardrobe_hat_bucket_hat,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[]
TRUE,Hat,Bandana (Blindfold),Common,TRUE,#F7391B,,wardrobe_hat_variant_bandana_blindfold,mcc:island_cosmetics.hat_variant.bandana_blindfold,,,wardrobe_hat_bandana,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[]
TRUE,Hat,Bandana (Mask),Common,TRUE,#F7391B,,wardrobe_hat_variant_bandana_mask,mcc:island_cosmetics.hat_variant.bandana_mask,,,wardrobe_hat_bandana,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[]
TRUE,Hat,Wicked Horns (Curved),Rare,TRUE,#8c466d,,wardrobe_hat_variant_wicked_horns_curved,mcc:island_cosmetics.hat_variant.wicked_horns_curved,,,wardrobe_hat_wicked_horns,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 4; component_rubber_band: 1; component_finde_string: 1; component_shiny_rock: 0; component_smoking_sulfur: 2; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 2; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,[You are not prepared.]
TRUE,Aura,Greater Ranked Aura,Legendary,,,,aura_rank_4_scattered_shapes,,,,aura_rank_2_scattered_shapes,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,"Must own rank 4 to unlock. Ihdenstical to the Ranked Aura, but an equal distribution of the apes should be green, blue, purple and orange as opposed to only green and blue. The frequency of shapes should increase."
TRUE,Trail,Greater Ranked Trail,Epic,,,,trail_rank_3_scattered_shapes,,,,trail_rank_1_scattered_shapes,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,"Must own rank 3 or higher to unlock. Identical to the Lesser Ranked Trail, but a roughly equal distribution of the gems should be green, blue, or purple as oposed to only green. The frequency of shapes should increase."
TRUE,Trail,Superior Ranked Trail,Legendary,,,,trail_rank_5_scattered_shapes,,,,trail_rank_1_scattered_shapes,component_bland_thread: 0; component_chicken_glue: 0; component_clouded_glass: 0; component_leather_scrap: 0; component_rubber_band: 0; component_finde_string: 0; component_shiny_rock: 0; component_smoking_sulfur: 0; component_vacant_seashell: 0; component_feather_bundle: 0; component_reptilian_scales: 0; component_steel_plate: 0; component_velvet_fabric: 0; component_abyssal_ichor: 0; component_crystal_shards: 0; component_hollow_bone: 0; component_silky_satin: 0; component_everliving_flame: 0; component_glistening_pearl: 0; component_perfected_alloy: 0; component_pristine_chitin: 0,Complete,"Must own or have owned at some point rank 5 to unlock. Identical to the Ranked Trail, but orange should be added to the possible colors. Additionally, a light red outline (and possible tint) should be added to all the shapes. The frequency of shapes appearing should increase."
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,
